FACILITY_TYPE,EXTERNAL_FACILITY_ID,FACILITY_NAME,SHORT_NAME,DESCRIPTION,LAT_MIN,LAT_MAX,LON_MIN,LON_MAX,METRIC:MMI:GREEN,METRIC:MMI:YELLOW,METRIC:MMI:RED,ATTR:CD,ATTR:Main,ATTR:TBMPage
"STRUCTURE","100333","LANDSCAPE MEDIAN ISLAND","","11009  TAMPA AV---NORTHRIDGE---91326",34.26977,34.26977,-118.555471,-118.555471,1,5,7,0,ND,
"STRUCTURE","100334","POINT FERMIN PARK","","1101  PASEO DEL MAR---SAN PEDRO---90731",33.712375,33.712375,-118.304412,-118.304412,1,5,7,15,SD,854B2
"STRUCTURE","100335","CRESTWOOD HILLS PARK","","1101  TIGERTAIL RD---LOS ANGELES---90049",34.078357,34.078357,-118.486248,-118.486248,1,5,7,11,ND,591E7
"STRUCTURE","100336","PUBLIC SERVICE","","1101  WESTWOOD BL---LOS ANGELES---90024",34.060627,34.060627,-118.445607,-118.445607,1,5,7,5,ND,632B4
"STRUCTURE","100337","HARBOR REGIONAL PARK","","1101 W ANAHEIM ST---WILMINGTON---90744",33.779347,33.779347,-118.275658,-118.275658,1,5,7,15,SD,794D6
"STRUCTURE","100338","LANDSCAPE MEDIAN ISLAND","","11015  STRANWOOD AV---SAN FERNANDO---91340",34.285467,34.285467,-118.437415,-118.437415,1,5,7,0,ND,
"STRUCTURE","100339","FIRE STATION #98","","11016  LEHIGH AV---PACOIMA---91331",34.27014,34.27014,-118.41759,-118.41759,1,5,7,7,ND,502D1
"STRUCTURE","100340","EAGLE ROCK CHILD CARE","","1102  EAGLE VISTA DR---EAGLE ROCK---90041",34.142567,34.142567,-118.186576,-118.186576,1,5,7,14,SD,562G5
"STRUCTURE","100341","VACANT DEVELOPED PROPERTY-LT INDUST","","1102 E 108TH ST---LOS ANGELES---90059",33.938134,33.938134,-118.25632,-118.25632,1,5,7,SD,704E5
"STRUCTURE","100342","LANDSCAPE MEDIAN ISLAND","","11020 S BROADWAY------90061",33.935408,33.935408,-118.277964,-118.277964,1,5,7,0,,
"STRUCTURE","100343","NORTHEAST VALLEY ANIMAL SHELTER","","11030 N STRANWOOD AV---MISSION HILLS---91345",34.270697,34.270697,-118.465864,-118.465864,1,5,7,7,ND,501 H2
"STRUCTURE","100344","REC & PARKS SERVICE","","11048  CHIMINEAS AV------91326",34.270685,34.270685,-118.528464,-118.528464,1,5,7,12,,
"STRUCTURE","100345","EAST VALLEY SOLID WASTE RESOURCES FACILITY","","11050  PENDLETON ST---LOS ANGELES---91352",34.238793,34.238793,-118.372418,-118.372418,1,5,7,2,ND,503A6
"STRUCTURE","100346","EAST VALLEY SOLID WASTE RESOURCES FACILITY","","11050  PENDLETON ST---LOS ANGELES---91352",34.238793,34.238793,-118.372418,-118.372418,1,5,7,2,ND,503A6
"STRUCTURE","100347","E WILMINGTON GREEN BELT PARK","","1106 N PIONEER AV---WILMINGTON---90744",33.784978,33.784978,-118.248091,-118.248091,1,5,7,15,SD,794G5
"STRUCTURE","100348","LANDSCAPE MEDIAN ISLAND","","11064  BURNET AV---MISSION HILLS---91345",34.270826,34.270826,-118.460258,-118.460258,1,5,7,0,ND,
"STRUCTURE","100349","REC & PARKS SERVICE","","11065  LORNE ST------91352",34.217673,34.217673,-118.371872,-118.371872,1,5,7,6,ND,533A3
"STRUCTURE","100350","REC & PARKS SERVICE","","11075  FOOTHILL BL---SYLMAR---91342",34.274658,34.274658,-118.371407,-118.371407,1,5,7,2,ND,
"STRUCTURE","100351","LAKE VIEW TERRACE REC CTR","","11085  FOOTHILL BL---LAKE VIEW TERRACE---91040",34.261829,34.261829,-118.323237,-118.323237,1,5,7,2,ND,502J1
"STRUCTURE","100352","LANDSCAPE MEDIAN ISLAND","","11091  VENICE BL---LOS ANGELES---90034",34.014002,34.014002,-118.415737,-118.415737,1,5,7,0,SD,633A6
"STRUCTURE","100353","STREET LIGHTING BUILDING","","11099 S SEPULVEDA BL---WESTCHESTER---90045",33.93428,33.93428,-118.396239,-118.396239,1,5,7,6,SD,702G6
"STRUCTURE","100354","SEPULVEDA BLVD AIRPORT TUNNEL","","11099 S SEPULVEDA BL---WESTCHESTER---90045",33.93428,33.93428,-118.396239,-118.396239,1,5,7,6,SD,702G6
"STRUCTURE","100355","BRIDEWELL ARMORY","","111  BRIDEWELL ST---LOS ANGELES---90042",34.113306,34.113306,-118.177523,-118.177523,1,5,7,14,SD,595E2
"STRUCTURE","100356","CITY HALL SOUTH","","111 E 1ST ST---LOS ANGELES---90012",34.051934,34.051934,-118.242887,-118.242887,1,5,7,9,CC,634F4
"STRUCTURE","100357","MEDIAN ISLAND IRRIGATION","","111 N HILL ST---BUNKER HILL---90014",34.043569,34.043569,-118.251644,-118.251644,1,5,7,9,SD,634F3
"STRUCTURE","100358","DWP GENERAL OFFICE BUILDING CENTRAL GARAGE","","111 N HOPE ST---LOS ANGELES---90012",34.056662,34.056662,-118.249818,-118.249818,1,5,7,9,CC,500F3
"STRUCTURE","100359","POLICE SCIENCE INVESTIGATION DEPT","","111 W 7TH ST---LOS ANGELES---90014",34.044149,34.044149,-118.251487,-118.251487,1,5,7,9,SD,634F5
"STRUCTURE","100360","L & R AUTO PARKS, INC","","111 W 7TH ST---LOS ANGELES---90014",34.044149,34.044149,-118.251487,-118.251487,1,5,7,9,SD,634F5
"STRUCTURE","100361","REC & PARKS SERVICE","","11100  CANTARA ST------91352",34.219157,34.219157,-118.372761,-118.372761,1,5,7,6,ND,533A3
"STRUCTURE","100362","STONEHURST RECREATION CENTER","","11101  DRONFIELD AV---SUN VALLEY---91352",34.25152,34.25152,-118.376949,-118.376949,1,5,7,2,ND,502J5
"STRUCTURE","100363","SEPULVEDA BLVD AIRPORT TUNNEL","","11101 S SEPULVEDA BL---WESTCHESTER---90045",33.934248,33.934248,-118.396264,-118.396264,1,5,7,6,SD,702G6
"STRUCTURE","100364","BUREAU OF SANITATION FACILITY","","11101 S SEPULVEDA BL---WESTCHESTER---90045",33.934248,33.934248,-118.396264,-118.396264,1,5,7,6,SD,702G6
"STRUCTURE","100365","LANDSCAPE MEDIAN ISLAND","","11105 S SEPULVEDA BL---WESTCHESTER---90045",33.934245,33.934245,-118.396267,-118.396267,1,5,7,0,,
"STRUCTURE","100366","POLICE SUBSTN","","1111  SUNSET BL---LOS ANGELES---90012",34.066118,34.066118,-118.249364,-118.249364,1,5,7,1,ND,634F2
"STRUCTURE","100367","LANDSCAPE MEDIAN ISLAND","","11113 S BROADWAY---LOS ANGELES---90061",33.934563,33.934563,-118.278444,-118.278444,1,5,7,0,,
"STRUCTURE","100368","VICTORY/VINELAND PARK","","11117  VICTORY BL---NORTH HOLLYWOOD---91606",34.186828,34.186828,-118.372654,-118.372654,1,5,7,2,ND,533A6
"STRUCTURE","100369","LANDSCAPE MEDIAN ISLAND","","11120 S BROADWAY---LOS ANGELES---90061",33.934453,33.934453,-118.278031,-118.278031,1,5,7,0,SD,704D7
"STRUCTURE","100370","NORTH VALLEY POLICE STATION (TB COMPLT'D SUM '03)","","11121 N SEPULVEDA BL---MISSION HILLS---91345",34.272607,34.272607,-118.467714,-118.467714,1,5,7,12,ND,501G2
"STRUCTURE","100371","GEORGIA STREET FACILITY","","1115  GEORGIA ST---LOS ANGELES---90015",34.04421,34.04421,-118.268049,-118.268049,1,5,7,9,SD,634D5
"STRUCTURE","100372","GEORGIA STREET FACILITY","","1115  GEORGIA ST---LOS ANGELES---90015",34.04421,34.04421,-118.268049,-118.268049,1,5,7,9,SD,634D5
"STRUCTURE","100373","GEORGIA STREET FACILITY","","1115  GEORGIA ST---LOS ANGELES---90015",34.04421,34.04421,-118.268049,-118.268049,1,5,7,9,SD,634D5
"STRUCTURE","100374","GEORGIA ST. FACILITY","","1115  GEORGIA ST---LOS ANGELES---90015",34.04421,34.04421,-118.268049,-118.268049,1,5,7,9,SD,634D5
"STRUCTURE","100375","REC & PARKS SERVICE","","11151  LEV AV------91345",34.27774,34.27774,-118.460829,-118.460829,1,5,7,0,,
"STRUCTURE","100376","WESTWOOD RECREATION CENTER","","11161  OHIO AV---WESTWOOD---90025",34.050015,34.050015,-118.447575,-118.447575,1,5,7,5,ND,631J3
"STRUCTURE","100377","BEL AIR DIST ST MTCE YARD","","11165  MISSOURI AV---BEL AIR---90025",34.044106,34.044106,-118.442553,-118.442553,1,5,7,11,ND,632B6
"STRUCTURE","100378","WEST L.A. SEWER MTCE YARD","","11168  MISSOURI AV---WEST L.A.---90025",34.04385,34.04385,-118.442427,-118.442427,1,5,7,11,ND,632B6
"STRUCTURE","100379","WEST L.A. SEWER MTCE YARD","","11168  MISSOURI AV---WEST L.A.---90025",34.04385,34.04385,-118.442427,-118.442427,1,5,7,11,ND,632B6
"STRUCTURE","100380","WEST L.A. SEWER MTCE YARD","","11168  MISSOURI AV---WEST L.A.---90025",34.04385,34.04385,-118.442427,-118.442427,1,5,7,11,ND,632B6
"STRUCTURE","100381","WEST L.A. SEWER MTCE YARD","","11168  MISSOURI AV---WEST L.A.---90025",34.04385,34.04385,-118.442427,-118.442427,1,5,7,11,ND,632B6
"STRUCTURE","100382","NORTH HOLLYWOOD","","11169  WEDDINGTON ST---NORTH HOLLYWOOD---91601",34.167163,34.167163,-118.374712,-118.374712,1,5,7,4,ND,563A3
"STRUCTURE","100383","ORCAS PARK-EQUESTRIAN CENTER","","11170  ORCAS AV---SUN VALLEY---91342",34.271399,34.271399,-118.369148,-118.369148,1,5,7,7,ND,502G4
"STRUCTURE","100384","LANDSCAPE MEDIAN ISLAND","","11177 S BROADWAY---LOS ANGELES---90061",33.933336,33.933336,-118.278575,-118.278575,1,5,7,0,,
"STRUCTURE","100385","LANDSCAPE MEDIAN ISLAND","","11180 S BROADWAY------90061",33.933462,33.933462,-118.278076,-118.278076,1,5,7,0,,
"STRUCTURE","100386","REC & PARKS BLDG","","112 S GLESS ST---LOS ANGELES---90033",34.047075,34.047075,-118.222767,-118.222767,1,5,7,14,SD,634J5
"STRUCTURE","100387","LANDSCAPE MEDIAN ISLAND","","11200  CANOGA AV---CHATSWORTH---91311",34.2733,34.2733,-118.596879,-118.596879,1,5,7,0,ND,500B5
"STRUCTURE","100388","REC & PARKS SERVICE","","11200  CHIMINEAS AV------91326",34.274093,34.274093,-118.528454,-118.528454,1,5,7,12,,
"STRUCTURE","100389","HANSEN DAM GOLF COURSE/PARK","","11201  WENTWORTH ST---SUN VALLEY---91040",34.256753,34.256753,-118.375958,-118.375958,1,5,7,7,ND,502G4
"STRUCTURE","100390","PACOIMA COMMUNITY CENTER","","11211  GLENOAKS BL---PACOIMA---91331",34.273928,34.273928,-118.412156,-118.412156,1,5,7,7,ND,482D7
"STRUCTURE","100391","WESTERN PARKING ENFORCEMENT OFFICE","","11214  EXPOSITION BL---LOS ANGELES---90064",34.034936,34.034936,-118.43492,-118.43492,1,5,7,5,ND,632C6
"STRUCTURE","100392","HOLLYWOOD PARK","","1122  COLE AV---HOLLYWOOD---90028",34.09125,34.09125,-118.329731,-118.329731,1,5,7,13,SD,593F5
"STRUCTURE","100393","STONEHURST PARK","","11225  WICKS ST---SUN VALLEY---91352",34.247821,34.247821,-118.375052,-118.375052,1,5,7,2,ND,502J5
"STRUCTURE","100394","NORTH HOLLYWOOD","","11231  MAGNOLIA BL---NORTH HOLLYWOOD---91601",34.165018,34.165018,-118.375617,-118.375617,1,5,7,4,ND,563A3
"STRUCTURE","100395","WOODBRIDGE PARK","","11240  MOORPARK ST---STUDIO CITY---91602",34.150227,34.150227,-118.375539,-118.375539,1,5,7,4,ND,563A5
"STRUCTURE","100396","LESSOR: BOYS & GIRLS CLUB OF S.F.V.","","11243  GLENOAKS BL---PACOIMA---91342",34.29915,34.29915,-118.438839,-118.438839,1,5,7,7,ND,502E1
"STRUCTURE","100397","STREET SERVICES","","11247  LAURIE DR---LOS ANGELES---91604",34.136623,34.136623,-118.37422,-118.37422,1,5,7,2,ND,562J6
"STRUCTURE","100398","STREET SERVICES","","11265  LAURIE DR---LOS ANGELES---91604",34.136812,34.136812,-118.374527,-118.374527,1,5,7,2,ND,562J6
"STRUCTURE","100399","LANDSCAPE MEDIAN ISLAND","","11286  CORBIN AV---NORTHRIDGE---91326",34.277015,34.277015,-118.563171,-118.563171,1,5,7,12,ND,500E1
"STRUCTURE","100400","LANDSCAPE MEDIAN ISLAND","","11296  CORBIN AV---NORTHRIDGE---91326",34.277181,34.277181,-118.563328,-118.563328,1,5,7,12,ND,500E1
"STRUCTURE","100401","VEHICLE MAINTENANCE-MID-CITY STATION","","1130 S VERMONT AV---LOS ANGELES---90006",34.050603,34.050603,-118.291438,-118.291438,1,5,7,1,SD,634 A4
"STRUCTURE","100402","MID-CITY STATION","","1130 S VERMONT AV---LOS ANGELES---90006",34.050603,34.050603,-118.291438,-118.291438,1,5,7,1,SD,634 A4
"STRUCTURE","100403","PACOIMA SENIOR CENTER","","11300  GLENOAKS BL---PACOIMA---91331",34.275889,34.275889,-118.413795,-118.413795,1,5,7,7,ND,482B5
